用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808441472485956,霍山检察,2022-08-31 07:22:15,,#新闻早七点#,1316,0
4808456458736024,江津检察,2022-08-31 07:22:15,,#新闻早七点#,7510,0
4808436887851570,石泉检察,2022-08-31 07:22:15,,转发微博,571,0
4808450388787888,你若花开我就来,2022-08-31 07:22:15,山西,转了,123,0
4808437537964216,呼和浩特市检察院,2022-08-31 07:22:15,,#新闻早七点#①全国“人民满意的公务员”和“人民满意的公务员集体”名单公布 检察系统18名个人、4个集体获表彰②构建多维治理电信网络诈骗体系③杨再滔：为夯实证据一次次“重返”案发现场④货车司机搭建了一条盗卖厂区废料产业链⑤#我国太阳探测卫星科学数据全球共享#网页链接 ,9438,0
4808455971409534,济南市天桥区人民检察,2022-08-31 08:28:53,,传递法治资讯@济南市天桥区人民检察,6.2万,0
4808449718486857,平安曲靖,2022-08-31 08:28:53,,关注,3.1万,0
4808469544437860,重庆江津法院,2022-08-31 08:28:53,,关注,6.1万,0
4808468013782621,渭城检察,2022-08-31 08:28:53,, ,490,0
4808462629083813,烟台市人民检察院,2022-08-31 08:28:53,,关注,3.3万,0
4808456643806796,莲湖检察,2022-08-31 08:28:53,,转发微博,1349,0
4808454387270354,汉中市检察院,2022-08-31 08:28:53,,#新闻早七点#,4万,0
4808451954311737,渭南检察,2022-08-31 08:28:53,,①全国“人民满意的公务员”和“人民满意的公务员集体”名单公布 检察系统18名个人、4个集体获表彰②构建多维治理电信网络诈骗体系③杨再滔：为夯实证据一次次“重返”案发现场④货车司机搭建了一条盗卖厂区废料产业链⑤#我国太阳探测卫星科学数据全球共享#,3.3万,0
4808447813489393,富平检察,2022-08-31 08:28:53,,转发微博,1.3万,0
4808445482768678,江北检察,2022-08-31 08:28:53,,关注,2.4万,0
4808443606860257,西安长安检察院,2022-08-31 08:28:53,,#检察日报#,1797,0
4808450465335982,武汉城郊检察,2022-08-31 08:28:53,,关注,980,0
4808469808939690,开阳县检察院,2022-08-31 08:24:18,,@甘泉检察@甘泉检察,3372,0
4808469788760838,开阳县检察院,2022-08-31 08:24:18,,@甘泉检察,3372,0
4808474015827746,菏泽中院,2022-08-31 08:24:18,,传递信息微平台,46.5万,0
4808473110383971,烟台市人民检察院,2022-08-31 08:24:18,,关注,3.3万,0
4808476008386594,凤县检察,2022-08-31 09:36:44,,转发微博,2205,0
4808472720049729,眉坞检察,2022-08-31 09:36:44,,转发微博,173,0
4808462367719528,正义广水,2022-08-31 09:36:44,,@宝鸡检察 ,3390,0
4808484808298066,渭滨检察,2022-08-31 09:36:44,,转发微博,1545,0
4808474413763119,千阳检察院,2022-08-31 09:36:44,,转发微博,300,0
4808473991452224,宝鸡陈仓检察,2022-08-31 09:36:44,,转发微博,712,0
4808471197519144,凤翔检察,2022-08-31 09:36:44,,转发微博,1971,0
4808461144032842,双流发布,2022-08-31 09:22:14,,和@双流发布 共同关注,98万,0
4808460887918842,碑林检察,2022-08-31 09:22:14,,关注,2645,0
4808464247294530,金州检察,2022-08-31 09:22:14,,关注,1.3万,0
4808470698394866,曹县人民检察院,2022-08-31 09:22:14,,关注,5832,0
4808466714067056,爱辉检察,2022-08-31 09:22:14,,关注@钟祥正义检察,2260,0
4808459667637470,太和检察,2022-08-31 09:22:14,,传播信息微平台,2920,0
4808455519735066,菏泽市人民检察院,2022-08-31 09:07:35,,传递法治正能量@菏泽市人民检察院,2.6万,0
4808469737902066,开阳县检察院,2022-08-31 08:26:13,,@甘泉检察@甘泉检察,3372,1
4808469724791233,开阳县检察院,2022-08-31 08:26:13,,@甘泉检察,3372,1
4808473974146320,菏泽中院,2022-08-31 08:26:13,,传递信息微平台,46.5万,0
4808473067396131,烟台市人民检察院,2022-08-31 08:26:13,,关注,3.3万,1
4808450217609404,菏泽市人民检察院,2022-08-31 08:26:13,,传递法治正能量@菏泽市人民检察院,2.6万,1
4808466131325664,昌邑检察,2022-08-31 08:26:13,,关注,3.4万,0
4808455795773464,济南市天桥区人民检察,2022-08-31 08:22:28,,传递法治资讯@济南市天桥区人民检察,6.2万,0
4808457699986928,淄博检察,2022-08-31 08:22:28,,关注热点，传播正能量。,1.4万,0
4808442214092573,澄城检察,2022-08-31 08:22:28,,关注,19.4万,0
4808464126445763,爱辉检察,2022-08-31 08:22:28,,关注@开阳县检察院,2260,0
4808474632129037,昌邑检察,2022-08-31 08:14:02,,关注,3.4万,0
4808437005288785,双桦检察,2022-08-31 07:55:28,,敬请关注@双桦检察,1.9万,4
4808451957459585,zlj鱼水,2022-08-31 07:55:28,黑龙江,关注,6,0
4808467926221455,林检人90,2022-08-31 07:55:28,黑龙江,关注,12,0
4808448100009789,李启辉999,2022-08-31 07:55:28,黑龙江,关注,12,0
4808446707499012,青松7337252529,2022-08-31 07:55:28,黑龙江,关注,15,0
4808453883697270,宁波检察,2022-08-31 07:51:15,,检察新闻,7.6万,1
4808460149984790,优优大表姐,2022-08-31 07:51:15,浙江,关注,5,0
4808457083946121,乘风破浪的少年2005,2022-08-31 07:51:15,浙江,新闻,10,0
4808456084915975,白水检察,2022-08-31 07:51:15,,共同关注,2.7万,0
4808454436294901,花仙子是精灵,2022-08-31 07:51:15,浙江,关注,200,0
4808452180545405,爱吃豆腐的大懒猫,2022-08-31 07:51:15,浙江,检察新闻宣传,14,1
4808451316515238,聚沙成塔1204,2022-08-31 07:51:15,浙江,检察早新闻,10,1
4808475995277162,上城检察,2022-08-31 07:45:55,,关注热点,2827,0
4808464113339576,曹县人民检察院,2022-08-31 07:33:16,,关注社会热点，传播法治资讯,5832,1
4808457653587202,丹东市人民检察院,2022-08-31 07:33:16,,传播信息微平台传递法治正能量,2.6万,0
4808327975141501,淡若清风0258,2022-08-31 00:41:01,上海,羲和不是月亮上的吗？   太阳上是  帝俊 和 太一 吧！！！,1,0
